col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,,,,,,,,,,,
-1.74,-3.08,0,0,-2592.47,612.28,63.62,62.19,2.5,-266.31,-53,-737.89,-130.72,-2592.47,612.29,-508.83,-112.36,94.51,-2004.16,-788.08,-1703.76,-603.63
-2.79,-2.36,0,0,-3166.59,-855.07,65.38,64.62,2.93,747.85,-536.68,152.08,-384.03,-3166.59,-855.07,-300.57,-244.31,-29.15,-1997.05,-1515.25,-654.68,-1225.79
-2.75,-0.95,0,0,-2473.22,-2093.05,64.69,67.12,3.69,294.89,255.1,343.13,-893.22,-2473.22,-2093.04,172.24,33.83,-25.52,-874.3,-2292.57,-1221.82,471.31
2.61,-2.89,0,0,-30.93,2226.85,60.93,65.11,3.1,-148.27,-303.03,428.5,-1022.44,-30.93,2226.85,-1079.66,-32.61,-84.95,-696.16,1586.99,-2562.07,-487.46
-3.2,-3.51,0,0,-4081.69,-92.9,64.44,65.72,2.93,-213.2,90.88,2833.38,75.3,-4081.69,-92.9,-1211.59,244.19,54.84,-2371.69,-1501.43,-3293.56,1798.26
4.86,-6.44,0,0,-2279.34,4896.52,62.1,64.65,2.78,-339.15,-33.38,-868.54,284.56,-2279.34,4896.51,-870.86,-445.82,147.88,-3512.96,2976.33,-2134.73,-2817.34
-1.36,-5.73,0,0,-4103.82,2852.13,64.58,64.33,2.17,-339.15,-33.38,1349.38,2842.7,-4103.82,2852.13,-1308.04,196.69,132.12,-3609.25,1093.24,-3856.43,1668.49
-2.12,1.43,0,0,-96.14,-1502.6,61.23,62.64,3.28,-332.01,2.8,598.93,-235.46,-96.14,-1502.59,-953.48,271.47,5.73,314.74,-1608.07,-1868.26,922.22
5.05,4.11,0,0,5627.73,1028.64,59.31,62.86,3.63,-220.86,-166.63,-79.1,-332,5627.73,1028.64,415,2453.3,-20.48,4834.15,-914.09,1643.31,5138.93
-2.01,-1.95,0,0,-2821.16,34.01,62.82,61.29,2.75,-243.7,-156.01,-839.74,57.94,-2821.16,34.03,-668.69,-57.96,27.28,-1972.92,-1084.89,-1726.94,116.16
-3.75,-3.79,0,0,-4593.62,356.71,63.83,66.25,4.45,-33.4,149.67,1239.29,151.31,-4593.62,356.71,-1136.92,-26.36,-72.36,-3401.43,-1019.43,-2883.87,-431.91
-2.93,-2.09,0,0,-3452.26,-225.73,63.53,64.06,2.75,-59.2,244.84,539.74,573.52,-3452.26,-225.73,-1044.09,196.88,8.19,-1948.71,-941.82,-2730.24,1293.34
